No,year,month,day,hour,PM2.5,PM10,season,station
43,2013,3,2,18,54,79,winter,Aotizhongxin
44,2013,3,2,19,61,86,winter,Aotizhongxin
45,2013,3,2,20,67,96,winter,Aotizhongxin
46,2013,3,2,21,74,103,winter,Aotizhongxin
47,2013,3,2,22,81,113,winter,Aotizhongxin
48,2013,3,2,23,93,120,winter,Aotizhongxin
49,2013,3,3,0,112,130,winter,Aotizhongxin
50,2013,3,3,1,109,132,winter,Aotizhongxin
51,2013,3,3,2,110,132,winter,Aotizhongxin
52,2013,3,3,3,105,129,winter,Aotizhongxin
53,2013,3,3,4,106,136,winter,Aotizhongxin
54,2013,3,3,5,101,135,winter,Aotizhongxin
55,2013,3,3,6,91,142,winter,Aotizhongxin
56,2013,3,3,7,79,116,winter,Aotizhongxin
57,2013,3,3,8,77,110,winter,Aotizhongxin
58,2013,3,3,9,83,119,winter,Aotizhongxin
59,2013,3,3,10,94,122,winter,Aotizhongxin
60,2013,3,3,11,96,117,winter,Aotizhongxin
61,2013,3,3,12,91,108,winter,Aotizhongxin
62,2013,3,3,13,98,134,winter,Aotizhongxin
63,2013,3,3,14,72,106,winter,Aotizhongxin
64,2013,3,3,15,48,114,winter,Aotizhongxin
65,2013,3,3,16,28,100,winter,Aotizhongxin
66,2013,3,3,17,26,103,winter,Aotizhongxin
67,2013,3,3,18,24,82,winter,Aotizhongxin
68,2013,3,3,19,19,71,winter,Aotizhongxin
69,2013,3,3,20,60,175,winter,Aotizhongxin
70,2013,3,3,21,117,181,winter,Aotizhongxin
71,2013,3,3,22,54,105,winter,Aotizhongxin
72,2013,3,3,23,46,94,winter,Aotizhongxin
73,2013,3,4,0,42,83,winter,Aotizhongxin
74,2013,3,4,1,49,80,winter,Aotizhongxin
75,2013,3,4,2,34,62,winter,Aotizhongxin
76,2013,3,4,3,12,34,winter,Aotizhongxin
77,2013,3,4,4,7,18,winter,Aotizhongxin
78,2013,3,4,5,10,24,winter,Aotizhongxin
79,2013,3,4,6,13,32,winter,Aotizhongxin
80,2013,3,4,7,14,36,winter,Aotizhongxin
81,2013,3,4,8,13,35,winter,Aotizhongxin
82,2013,3,4,9,15,32,winter,Aotizhongxin
83,2013,3,4,10,16,24,winter,Aotizhongxin
84,2013,3,4,11,18,33,winter,Aotizhongxin
85,2013,3,4,12,13,28,winter,Aotizhongxin
86,2013,3,4,13,3,12,winter,Aotizhongxin
87,2013,3,4,14,3,10,winter,Aotizhongxin
88,2013,3,4,15,10,13,winter,Aotizhongxin
89,2013,3,4,16,14,20,winter,Aotizhongxin
90,2013,3,4,17,20,33,winter,Aotizhongxin
91,2013,3,4,18,25,44,winter,Aotizhongxin
92,2013,3,4,19,31,63,winter,Aotizhongxin
93,2013,3,4,20,34,84,winter,Aotizhongxin
94,2013,3,4,21,40,85,winter,Aotizhongxin
95,2013,3,4,22,51,91,winter,Aotizhongxin
96,2013,3,4,23,58,94,winter,Aotizhongxin
97,2013,3,5,0,71,108,winter,Aotizhongxin
98,2013,3,5,1,91,127,winter,Aotizhongxin
99,2013,3,5,2,100,129,winter,Aotizhongxin
100,2013,3,5,3,103,130,winter,Aotizhongxin
101,2013,3,5,4,115,151,winter,Aotizhongxin
102,2013,3,5,5,117,153,winter,Aotizhongxin
103,2013,3,5,6,104,145,winter,Aotizhongxin
104,2013,3,5,7,106,146,winter,Aotizhongxin
105,2013,3,5,8,111,147,winter,Aotizhongxin
106,2013,3,5,9,114,159,winter,Aotizhongxin
107,2013,3,5,10,131,177,winter,Aotizhongxin
108,2013,3,5,11,138,184,winter,Aotizhongxin
109,2013,3,5,12,142,184,winter,Aotizhongxin
110,2013,3,5,13,163,193,winter,Aotizhongxin
111,2013,3,5,14,168,182,winter,Aotizhongxin
112,2013,3,5,15,165,171,winter,Aotizhongxin
113,2013,3,5,16,166,186,winter,Aotizhongxin
114,2013,3,5,17,190,218,winter,Aotizhongxin
115,2013,3,5,18,203,248,winter,Aotizhongxin
116,2013,3,5,19,210,255,winter,Aotizhongxin
117,2013,3,5,20,205,244,winter,Aotizhongxin
118,2013,3,5,21,215,252,winter,Aotizhongxin
119,2013,3,5,22,219,253,winter,Aotizhongxin
120,2013,3,5,23,226,269,winter,Aotizhongxin
121,2013,3,6,0,284,315,winter,Aotizhongxin
122,2013,3,6,1,272,300,winter,Aotizhongxin
123,2013,3,6,2,242,265,winter,Aotizhongxin
124,2013,3,6,3,212,229,winter,Aotizhongxin
125,2013,3,6,4,192,203,winter,Aotizhongxin
126,2013,3,6,5,188,194,winter,Aotizhongxin
127,2013,3,6,6,186,194,winter,Aotizhongxin
128,2013,3,6,7,188,196,winter,Aotizhongxin
129,2013,3,6,8,194,205,winter,Aotizhongxin
130,2013,3,6,9,184,198,winter,Aotizhongxin
131,2013,3,6,10,175,198,winter,Aotizhongxin
132,2013,3,6,11,179,212,winter,Aotizhongxin
133,2013,3,6,12,192,219,winter,Aotizhongxin
134,2013,3,6,13,201,233,winter,Aotizhongxin
135,2013,3,6,14,230,265,winter,Aotizhongxin
136,2013,3,6,15,246,277,winter,Aotizhongxin
137,2013,3,6,16,248,285,winter,Aotizhongxin
138,2013,3,6,17,230,276,winter,Aotizhongxin
139,2013,3,6,18,239,291,winter,Aotizhongxin
140,2013,3,6,19,242,338,winter,Aotizhongxin
141,2013,3,6,20,254,396,winter,Aotizhongxin
142,2013,3,6,21,266,380,winter,Aotizhongxin
143,2013,3,6,22,254,335,winter,Aotizhongxin
144,2013,3,6,23,260,360,winter,Aotizhongxin
145,2013,3,7,0,250,319,winter,Aotizhongxin
146,2013,3,7,1,240,297,winter,Aotizhongxin
147,2013,3,7,2,238,294,winter,Aotizhongxin
148,2013,3,7,3,243,293,winter,Aotizhongxin
149,2013,3,7,4,246,304,winter,Aotizhongxin
150,2013,3,7,5,275,337,winter,Aotizhongxin
151,2013,3,7,6,306,366,winter,Aotizhongxin
152,2013,3,7,7,320,374,winter,Aotizhongxin
153,2013,3,7,8,292,344,winter,Aotizhongxin
154,2013,3,7,9,251,282,winter,Aotizhongxin
155,2013,3,7,10,228,255,winter,Aotizhongxin
156,2013,3,7,11,217,255,winter,Aotizhongxin
157,2013,3,7,12,255,311,winter,Aotizhongxin
158,2013,3,7,13,258,283,winter,Aotizhongxin
159,2013,3,7,14,277,284,winter,Aotizhongxin
160,2013,3,7,15,282,326,winter,Aotizhongxin
161,2013,3,7,16,267,310,winter,Aotizhongxin
162,2013,3,7,17,216,257,winter,Aotizhongxin
163,2013,3,7,18,201,255,winter,Aotizhongxin
164,2013,3,7,19,211,287,winter,Aotizhongxin
165,2013,3,7,20,227,298,winter,Aotizhongxin
166,2013,3,7,21,282,377,winter,Aotizhongxin
167,2013,3,7,22,363,452,winter,Aotizhongxin
168,2013,3,7,23,376,426,winter,Aotizhongxin
169,2013,3,8,0,344,389,winter,Aotizhongxin
170,2013,3,8,1,339,370,winter,Aotizhongxin
171,2013,3,8,2,339,400,winter,Aotizhongxin
172,2013,3,8,3,324,373,winter,Aotizhongxin
173,2013,3,8,4,322,345,winter,Aotizhongxin
174,2013,3,8,5,315,346,winter,Aotizhongxin
175,2013,3,8,6,310,327,winter,Aotizhongxin
176,2013,3,8,7,309,318,winter,Aotizhongxin
177,2013,3,8,8,310,337,winter,Aotizhongxin
178,2013,3,8,9,326,371,winter,Aotizhongxin
179,2013,3,8,10,326,844,winter,Aotizhongxin
180,2013,3,8,11,219,362,winter,Aotizhongxin
181,2013,3,8,12,104,194,winter,Aotizhongxin
182,2013,3,8,13,121,225,winter,Aotizhongxin
183,2013,3,8,14,184,348,winter,Aotizhongxin
184,2013,3,8,15,330,508,winter,Aotizhongxin
185,2013,3,8,16,172,284,winter,Aotizhongxin
186,2013,3,8,17,114,181,winter,Aotizhongxin
187,2013,3,8,18,82,128,winter,Aotizhongxin
188,2013,3,8,19,84,123,winter,Aotizhongxin
189,2013,3,8,20,91,104,winter,Aotizhongxin
190,2013,3,8,21,81,87,winter,Aotizhongxin
191,2013,3,8,22,90,102,winter,Aotizhongxin
192,2013,3,8,23,79,85,winter,Aotizhongxin
193,2013,3,9,0,49,67,winter,Aotizhongxin
194,2013,3,9,1,89,91,winter,Aotizhongxin
195,2013,3,9,2,89,97,winter,Aotizhongxin
196,2013,3,9,3,98,125,winter,Aotizhongxin
197,2013,3,9,4,97,118,winter,Aotizhongxin
198,2013,3,9,5,102,123,winter,Aotizhongxin
199,2013,3,9,6,110,153,winter,Aotizhongxin
200,2013,3,9,7,108,143,winter,Aotizhongxin
201,2013,3,9,8,104,139,winter,Aotizhongxin
202,2013,3,9,9,113,166,winter,Aotizhongxin
203,2013,3,9,10,145,272,winter,Aotizhongxin
204,2013,3,9,11,69,587,winter,Aotizhongxin
205,2013,3,9,12,78,NA,winter,Aotizhongxin
206,2013,3,9,13,49,628,winter,Aotizhongxin
207,2013,3,9,14,47,662,winter,Aotizhongxin
208,2013,3,9,15,28,443,winter,Aotizhongxin
209,2013,3,9,16,21,263,winter,Aotizhongxin
210,2013,3,9,17,14,251,winter,Aotizhongxin
211,2013,3,9,18,17,205,winter,Aotizhongxin
212,2013,3,9,19,15,107,winter,Aotizhongxin
213,2013,3,9,20,18,104,winter,Aotizhongxin
214,2013,3,9,21,12,58,winter,Aotizhongxin
215,2013,3,9,22,11,34,winter,Aotizhongxin
216,2013,3,9,23,6,19,winter,Aotizhongxin
217,2013,3,10,0,11,15,winter,Aotizhongxin
218,2013,3,10,1,11,16,winter,Aotizhongxin
219,2013,3,10,2,6,18,winter,Aotizhongxin
220,2013,3,10,3,10,25,winter,Aotizhongxin
221,2013,3,10,4,18,63,winter,Aotizhongxin
222,2013,3,10,5,21,35,winter,Aotizhongxin
223,2013,3,10,6,18,21,winter,Aotizhongxin
224,2013,3,10,7,24,46,winter,Aotizhongxin
225,2013,3,10,8,31,74,winter,Aotizhongxin
226,2013,3,10,9,26,75,winter,Aotizhongxin
227,2013,3,10,10,27,63,winter,Aotizhongxin
228,2013,3,10,11,30,59,winter,Aotizhongxin
229,2013,3,10,12,28,56,winter,Aotizhongxin
230,2013,3,10,13,34,52,winter,Aotizhongxin
231,2013,3,10,14,28,54,winter,Aotizhongxin
232,2013,3,10,15,37,71,winter,Aotizhongxin
233,2013,3,10,16,36,94,winter,Aotizhongxin
234,2013,3,10,17,38,117,winter,Aotizhongxin
235,2013,3,10,18,44,106,winter,Aotizhongxin
236,2013,3,10,19,60,102,winter,Aotizhongxin
237,2013,3,10,20,70,115,winter,Aotizhongxin
238,2013,3,10,21,64,114,winter,Aotizhongxin
239,2013,3,10,22,70,123,winter,Aotizhongxin
240,2013,3,10,23,81,140,winter,Aotizhongxin
241,2013,3,11,0,90,147,winter,Aotizhongxin
242,2013,3,11,1,95,156,winter,Aotizhongxin
243,2013,3,11,2,95,140,winter,Aotizhongxin
244,2013,3,11,3,96,138,winter,Aotizhongxin
245,2013,3,11,4,97,140,winter,Aotizhongxin
246,2013,3,11,5,106,146,winter,Aotizhongxin
247,2013,3,11,6,114,147,winter,Aotizhongxin
248,2013,3,11,7,112,155,winter,Aotizhongxin
249,2013,3,11,8,113,184,winter,Aotizhongxin
250,2013,3,11,9,120,196,winter,Aotizhongxin
251,2013,3,11,10,141,205,winter,Aotizhongxin
252,2013,3,11,11,140,198,winter,Aotizhongxin
253,2013,3,11,12,149,207,winter,Aotizhongxin
254,2013,3,11,13,150,189,winter,Aotizhongxin
255,2013,3,11,14,114,151,winter,Aotizhongxin
256,2013,3,11,15,106,133,winter,Aotizhongxin
257,2013,3,11,16,113,162,winter,Aotizhongxin
258,2013,3,11,17,132,198,winter,Aotizhongxin
259,2013,3,11,18,149,253,winter,Aotizhongxin
260,2013,3,11,19,144,233,winter,Aotizhongxin
261,2013,3,11,20,156,214,winter,Aotizhongxin
262,2013,3,11,21,174,246,winter,Aotizhongxin
263,2013,3,11,22,152,196,winter,Aotizhongxin
264,2013,3,11,23,113,145,winter,Aotizhongxin
265,2013,3,12,0,89,124,winter,Aotizhongxin
266,2013,3,12,1,106,161,winter,Aotizhongxin
267,2013,3,12,2,125,159,winter,Aotizhongxin
268,2013,3,12,3,117,127,winter,Aotizhongxin
269,2013,3,12,4,112,140,winter,Aotizhongxin
270,2013,3,12,5,140,237,winter,Aotizhongxin
271,2013,3,12,6,146,165,winter,Aotizhongxin
272,2013,3,12,7,115,121,winter,Aotizhongxin
273,2013,3,12,8,120,122,winter,Aotizhongxin
274,2013,3,12,9,116,90,winter,Aotizhongxin
275,2013,3,12,10,123,94,winter,Aotizhongxin
276,2013,3,12,11,130,104,winter,Aotizhongxin
277,2013,3,12,12,132,87,winter,Aotizhongxin
278,2013,3,12,13,129,84,winter,Aotizhongxin
279,2013,3,12,14,139,102,winter,Aotizhongxin
280,2013,3,12,15,135,93,winter,Aotizhongxin
281,2013,3,12,16,133,102,winter,Aotizhongxin
282,2013,3,12,17,141,107,winter,Aotizhongxin
283,2013,3,12,18,124,131,winter,Aotizhongxin
284,2013,3,12,19,137,140,winter,Aotizhongxin
285,2013,3,12,20,160,140,winter,Aotizhongxin
286,2013,3,12,21,140,101,winter,Aotizhongxin
287,2013,3,12,22,88,31,winter,Aotizhongxin
288,2013,3,12,23,50,50,winter,Aotizhongxin
289,2013,3,13,0,22,22,winter,Aotizhongxin
290,2013,3,13,1,10,10,winter,Aotizhongxin
291,2013,3,13,2,10,10,winter,Aotizhongxin
292,2013,3,13,3,7,7,winter,Aotizhongxin
293,2013,3,13,4,11,11,winter,Aotizhongxin
294,2013,3,13,5,3,6,winter,Aotizhongxin
295,2013,3,13,6,3,6,winter,Aotizhongxin
296,2013,3,13,7,3,8,winter,Aotizhongxin
297,2013,3,13,8,8,18,winter,Aotizhongxin
298,2013,3,13,9,20,24,winter,Aotizhongxin
299,2013,3,13,10,16,25,winter,Aotizhongxin
300,2013,3,13,11,14,6,winter,Aotizhongxin
301,2013,3,13,12,12,6,winter,Aotizhongxin
302,2013,3,13,13,17,6,winter,Aotizhongxin
303,2013,3,13,14,15,6,winter,Aotizhongxin
304,2013,3,13,15,3,9,winter,Aotizhongxin
305,2013,3,13,16,3,6,winter,Aotizhongxin
306,2013,3,13,17,3,11,winter,Aotizhongxin
307,2013,3,13,18,23,38,winter,Aotizhongxin
308,2013,3,13,19,31,59,winter,Aotizhongxin
309,2013,3,13,20,37,47,winter,Aotizhongxin
310,2013,3,13,21,35,39,winter,Aotizhongxin
311,2013,3,13,22,37,39,winter,Aotizhongxin
312,2013,3,13,23,42,45,winter,Aotizhongxin
313,2013,3,14,0,62,113,winter,Aotizhongxin
314,2013,3,14,1,71,88,winter,Aotizhongxin
315,2013,3,14,2,60,66,winter,Aotizhongxin
316,2013,3,14,3,65,53,winter,Aotizhongxin
317,2013,3,14,4,49,53,winter,Aotizhongxin
318,2013,3,14,5,72,77,winter,Aotizhongxin
319,2013,3,14,6,73,75,winter,Aotizhongxin
320,2013,3,14,7,69,77,winter,Aotizhongxin
321,2013,3,14,8,72,81,winter,Aotizhongxin
322,2013,3,14,9,84,95,winter,Aotizhongxin
323,2013,3,14,10,101,117,winter,Aotizhongxin
324,2013,3,14,11,111,112,winter,Aotizhongxin
325,2013,3,14,12,97,125,winter,Aotizhongxin
326,2013,3,14,13,104,117,winter,Aotizhongxin
327,2013,3,14,14,108,115,winter,Aotizhongxin
328,2013,3,14,15,105,112,winter,Aotizhongxin
329,2013,3,14,16,105,115,winter,Aotizhongxin
330,2013,3,14,17,106,126,winter,Aotizhongxin
331,2013,3,14,18,115,136,winter,Aotizhongxin
332,2013,3,14,19,119,137,winter,Aotizhongxin
333,2013,3,14,20,115,118,winter,Aotizhongxin
334,2013,3,14,21,119,130,winter,Aotizhongxin
335,2013,3,14,22,140,158,winter,Aotizhongxin
336,2013,3,14,23,162,179,winter,Aotizhongxin
337,2013,3,15,0,165,176,winter,Aotizhongxin
338,2013,3,15,1,180,211,winter,Aotizhongxin
339,2013,3,15,2,183,218,winter,Aotizhongxin
340,2013,3,15,3,182,200,winter,Aotizhongxin
341,2013,3,15,4,173,189,winter,Aotizhongxin
342,2013,3,15,5,166,177,winter,Aotizhongxin
343,2013,3,15,6,163,170,winter,Aotizhongxin
344,2013,3,15,7,137,156,winter,Aotizhongxin
345,2013,3,15,8,164,174,winter,Aotizhongxin
346,2013,3,15,9,172,185,winter,Aotizhongxin
347,2013,3,15,10,173,186,winter,Aotizhongxin
348,2013,3,15,11,3,3,winter,Aotizhongxin
349,2013,3,15,12,110,331,winter,Aotizhongxin
350,2013,3,15,13,227,261,winter,Aotizhongxin
351,2013,3,15,14,236,279,winter,Aotizhongxin
352,2013,3,15,15,256,305,winter,Aotizhongxin
353,2013,3,15,16,287,343,winter,Aotizhongxin
354,2013,3,15,17,278,320,winter,Aotizhongxin
355,2013,3,15,18,269,319,winter,Aotizhongxin
356,2013,3,15,19,286,324,winter,Aotizhongxin
357,2013,3,15,20,304,343,winter,Aotizhongxin
358,2013,3,15,21,312,348,winter,Aotizhongxin
359,2013,3,15,22,316,367,winter,Aotizhongxin
360,2013,3,15,23,353,430,winter,Aotizhongxin
361,2013,3,16,0,355,411,winter,Aotizhongxin
362,2013,3,16,1,328,357,winter,Aotizhongxin
363,2013,3,16,2,308,330,winter,Aotizhongxin
364,2013,3,16,3,304,332,winter,Aotizhongxin
365,2013,3,16,4,314,316,winter,Aotizhongxin
366,2013,3,16,5,276,300,winter,Aotizhongxin
367,2013,3,16,6,276,293,winter,Aotizhongxin
368,2013,3,16,7,275,297,winter,Aotizhongxin
369,2013,3,16,8,278,294,winter,Aotizhongxin
370,2013,3,16,9,272,289,winter,Aotizhongxin
371,2013,3,16,10,264,273,winter,Aotizhongxin
372,2013,3,16,11,270,243,winter,Aotizhongxin
373,2013,3,16,12,227,207,winter,Aotizhongxin
374,2013,3,16,13,183,189,winter,Aotizhongxin
375,2013,3,16,14,166,169,winter,Aotizhongxin
376,2013,3,16,15,150,167,winter,Aotizhongxin
377,2013,3,16,16,165,212,winter,Aotizhongxin
378,2013,3,16,17,185,204,winter,Aotizhongxin
379,2013,3,16,18,216,217,winter,Aotizhongxin
380,2013,3,16,19,188,217,winter,Aotizhongxin
381,2013,3,16,20,197,223,winter,Aotizhongxin
382,2013,3,16,21,228,242,winter,Aotizhongxin
383,2013,3,16,22,242,204,winter,Aotizhongxin
384,2013,3,16,23,210,204,winter,Aotizhongxin
385,2013,3,17,0,166,192,winter,Aotizhongxin
386,2013,3,17,1,162,194,winter,Aotizhongxin
387,2013,3,17,2,176,211,winter,Aotizhongxin
388,2013,3,17,3,217,219,winter,Aotizhongxin
389,2013,3,17,4,183,195,winter,Aotizhongxin
390,2013,3,17,5,180,188,winter,Aotizhongxin
391,2013,3,17,6,184,223,winter,Aotizhongxin
392,2013,3,17,7,206,210,winter,Aotizhongxin
393,2013,3,17,8,206,237,winter,Aotizhongxin
394,2013,3,17,9,257,259,winter,Aotizhongxin
395,2013,3,17,10,267,283,winter,Aotizhongxin
396,2013,3,17,11,293,321,winter,Aotizhongxin
397,2013,3,17,12,322,326,winter,Aotizhongxin
398,2013,3,17,13,294,347,winter,Aotizhongxin
399,2013,3,17,14,332,372,winter,Aotizhongxin
400,2013,3,17,15,352,392,winter,Aotizhongxin
401,2013,3,17,16,362,383,winter,Aotizhongxin
402,2013,3,17,17,356,369,winter,Aotizhongxin
403,2013,3,17,18,344,367,winter,Aotizhongxin
404,2013,3,17,19,357,395,winter,Aotizhongxin
405,2013,3,17,20,364,390,winter,Aotizhongxin
406,2013,3,17,21,392,442,winter,Aotizhongxin
407,2013,3,17,22,423,462,winter,Aotizhongxin
408,2013,3,17,23,434,455,winter,Aotizhongxin
409,2013,3,18,0,450,494,winter,Aotizhongxin
410,2013,3,18,1,463,476,winter,Aotizhongxin
411,2013,3,18,2,308,476,winter,Aotizhongxin
412,2013,3,18,3,36,122,winter,Aotizhongxin
413,2013,3,18,4,30,153,winter,Aotizhongxin
414,2013,3,18,5,20,112,winter,Aotizhongxin
415,2013,3,18,6,14,185,winter,Aotizhongxin
416,2013,3,18,7,13,68,winter,Aotizhongxin
417,2013,3,18,8,3,6,winter,Aotizhongxin
418,2013,3,18,9,3,7,winter,Aotizhongxin
419,2013,3,18,10,13,6,winter,Aotizhongxin
420,2013,3,18,11,6,6,winter,Aotizhongxin
421,2013,3,18,12,8,6,winter,Aotizhongxin
422,2013,3,18,13,12,6,winter,Aotizhongxin
423,2013,3,18,14,12,6,winter,Aotizhongxin
424,2013,3,18,15,14,6,winter,Aotizhongxin
425,2013,3,18,16,15,6,winter,Aotizhongxin
426,2013,3,18,17,3,9,winter,Aotizhongxin
427,2013,3,18,18,28,71,winter,Aotizhongxin
428,2013,3,18,19,78,285,winter,Aotizhongxin
429,2013,3,18,20,55,133,winter,Aotizhongxin
430,2013,3,18,21,38,76,winter,Aotizhongxin
431,2013,3,18,22,37,59,winter,Aotizhongxin
432,2013,3,18,23,37,59,winter,Aotizhongxin
433,2013,3,19,0,31,46,winter,Aotizhongxin
434,2013,3,19,1,30,46,winter,Aotizhongxin
435,2013,3,19,2,31,42,winter,Aotizhongxin
436,2013,3,19,3,33,41,winter,Aotizhongxin
437,2013,3,19,4,31,35,winter,Aotizhongxin
438,2013,3,19,5,29,31,winter,Aotizhongxin
439,2013,3,19,6,32,39,winter,Aotizhongxin
440,2013,3,19,7,30,36,winter,Aotizhongxin
441,2013,3,19,8,34,56,winter,Aotizhongxin
442,2013,3,19,9,38,57,winter,Aotizhongxin
443,2013,3,19,10,51,66,winter,Aotizhongxin
444,2013,3,19,11,59,63,winter,Aotizhongxin
445,2013,3,19,12,60,63,winter,Aotizhongxin
446,2013,3,19,13,45,61,winter,Aotizhongxin
447,2013,3,19,14,50,58,winter,Aotizhongxin
448,2013,3,19,15,52,57,winter,Aotizhongxin
449,2013,3,19,16,45,49,winter,Aotizhongxin
450,2013,3,19,17,38,39,winter,Aotizhongxin
451,2013,3,19,18,28,28,winter,Aotizhongxin
452,2013,3,19,19,30,30,winter,Aotizhongxin
453,2013,3,19,20,38,24,winter,Aotizhongxin
454,2013,3,19,21,39,50,winter,Aotizhongxin
455,2013,3,19,22,65,81,winter,Aotizhongxin
456,2013,3,19,23,65,81,winter,Aotizhongxin
457,2013,3,20,0,68,78,winter,Aotizhongxin
458,2013,3,20,1,47,47,winter,Aotizhongxin
459,2013,3,20,2,40,42,winter,Aotizhongxin
460,2013,3,20,3,52,42,winter,Aotizhongxin
461,2013,3,20,4,52,35,winter,Aotizhongxin
462,2013,3,20,5,31,27,winter,Aotizhongxin
463,2013,3,20,6,23,6,winter,Aotizhongxin
464,2013,3,20,7,27,6,winter,Aotizhongxin
465,2013,3,20,8,39,51,winter,Aotizhongxin
466,2013,3,20,9,42,23,winter,Aotizhongxin
467,2013,3,20,10,24,30,winter,Aotizhongxin
468,2013,3,20,11,40,9,winter,Aotizhongxin
469,2013,3,20,12,27,6,winter,Aotizhongxin
470,2013,3,20,13,33,68,winter,Aotizhongxin
471,2013,3,20,14,51,27,winter,Aotizhongxin
472,2013,3,20,15,30,32,winter,Aotizhongxin
473,2013,3,20,16,37,48,winter,Aotizhongxin
474,2013,3,20,17,41,46,winter,Aotizhongxin
475,2013,3,20,18,59,63,winter,Aotizhongxin
476,2013,3,20,19,78,81,winter,Aotizhongxin
477,2013,3,20,20,69,89,winter,Aotizhongxin
478,2013,3,20,21,77,89,winter,Aotizhongxin
479,2013,3,20,22,81,96,winter,Aotizhongxin
480,2013,3,20,23,106,106,winter,Aotizhongxin
481,2013,3,21,0,92,108,winter,Aotizhongxin
482,2013,3,21,1,112,116,winter,Aotizhongxin
483,2013,3,21,2,97,105,winter,Aotizhongxin
484,2013,3,21,3,103,106,winter,Aotizhongxin
485,2013,3,21,4,78,80,winter,Aotizhongxin
486,2013,3,21,5,73,79,winter,Aotizhongxin
487,2013,3,21,6,73,83,winter,Aotizhongxin
488,2013,3,21,7,112,114,winter,Aotizhongxin
489,2013,3,21,8,116,119,winter,Aotizhongxin
490,2013,3,21,9,120,129,winter,Aotizhongxin
491,2013,3,21,10,130,141,winter,Aotizhongxin
492,2013,3,21,11,142,163,winter,Aotizhongxin
493,2013,3,21,12,162,172,winter,Aotizhongxin
494,2013,3,21,13,178,187,winter,Aotizhongxin
495,2013,3,21,14,181,194,winter,Aotizhongxin
496,2013,3,21,15,187,202,winter,Aotizhongxin
497,2013,3,21,16,188,205,winter,Aotizhongxin
498,2013,3,21,17,187,211,winter,Aotizhongxin
499,2013,3,21,18,190,221,winter,Aotizhongxin
500,2013,3,21,19,202,240,winter,Aotizhongxin
501,2013,3,21,20,202,219,winter,Aotizhongxin
502,2013,3,21,21,205,218,winter,Aotizhongxin
503,2013,3,21,22,217,236,winter,Aotizhongxin
504,2013,3,21,23,228,234,winter,Aotizhongxin
505,2013,3,22,0,202,209,winter,Aotizhongxin
506,2013,3,22,1,172,179,winter,Aotizhongxin
507,2013,3,22,2,160,168,winter,Aotizhongxin
508,2013,3,22,3,117,170,winter,Aotizhongxin
509,2013,3,22,4,160,170,winter,Aotizhongxin
510,2013,3,22,5,65,171,winter,Aotizhongxin
511,2013,3,22,6,18,168,winter,Aotizhongxin
512,2013,3,22,7,26,33,winter,Aotizhongxin
513,2013,3,22,8,10,15,winter,Aotizhongxin
514,2013,3,22,9,146,152,winter,Aotizhongxin
515,2013,3,22,10,142,147,winter,Aotizhongxin
516,2013,3,22,11,137,143,winter,Aotizhongxin
